name,info,best_acc,model,transform,batch,epoch,loss_overfit,acc_overfit,lr,momentum
exp28,,0.4934,basic,0.5all,32,30,15,25,0.001,0.9
exp29,,0.6015,res18_pre,"0.5  ",32,30,2,30+,0.001,0.9
exp31,,0.5253,res18,"0.5  ",32,30,5,30+,0.001,0.9
exp32,+epoch,0.6037,res18_pre,"[0.485, 0.456, 0.406], [0.229, 0.224, 0.225])]",32,30,2,30+,0.001,0.9
exp34,"+epoch,  should maybe the best",0.599269,res18_pre,"[0.5077, 0.5077, 0.5077],[0.2186, 0.2186, 0.2186]",32,30,2,30+,0.001,0.9
exp35,"inc_small,next epoch to 30",0.6072,res18_pre,"[0.5077, 0.5077, 0.5077],[0.2186, 0.2186, 0.2186]",32,60,,,0.001,0.9
exp36,"freeze last layer, result very bad, return to unfreeze ",0.338,res18_pre_fre,"[0.5077, 0.5077, 0.5077],[0.2186, 0.2186, 0.2186]",32,30,,,0.001,0.9
exp38,"center crop 38, seems not very differ, remove and change to other tricks",0.598,res18_pre,self,32,x,x,x,0.001,0.9
exp41,"epoch need >60, best current, has big shake",0.6159,res34_pre,self,32,60,2,60+,0.001,0.9
exp43,"small inc, big shake",0.6213,res152pre,self,32,60,2,60+,0.001,0.9
exp73,"0.1 inc, 30+epoch ^",0.6382,vgg11,self,32,30,6,30+,0.001,0.9
exp76,"0.1inc,need epoch30+, need 0.001lr- ",0.6480,vgg19,self,32,30,6,30+,0.001,0.9
